epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,299.742,0.82029,0.73357,0.89473,0.97985,0.98148,0.97704,0.85165,0.66117,0.63123,0.86647,0.006337,0.006337,0.006337
76,304.111,0.76263,0.72528,0.8657,0.96682,0.98148,0.97703,0.83171,0.63903,0.71256,0.86911,0.0062875,0.0062875,0.0062875
77,310.186,0.73367,0.70099,0.85347,0.98057,0.98148,0.97704,0.85982,0.59823,0.65472,0.85619,0.006238,0.006238,0.006238
78,314.977,0.72906,0.70428,0.85655,0.98007,0.97801,0.97704,0.86002,0.55366,0.62106,0.8646,0.0061885,0.0061885,0.0061885
79,318.156,0.78767,0.70524,0.87493,0.98007,0.97801,0.97704,0.86002,0.55366,0.62106,0.8646,0.006139,0.006139,0.006139
80,324.113,0.79033,0.72454,0.87633,0.97703,0.98148,0.97793,0.86151,0.60737,0.6415,0.85712,0.0060895,0.0060895,0.0060895
81,328.787,0.78844,0.71988,0.8651,0.93384,0.98148,0.97711,0.87207,0.54358,0.59964,0.85546,0.00604,0.00604,0.00604
82,334.297,0.71795,0.70803,0.86369,0.93211,0.98148,0.9771,0.85432,0.63496,0.61274,0.86265,0.0059905,0.0059905,0.0059905
83,337.907,0.72053,0.67288,0.84995,0.93211,0.98148,0.9771,0.85432,0.63496,0.61274,0.86265,0.005941,0.005941,0.005941
84,343.486,0.81224,0.70734,0.88854,0.95316,0.97588,0.97711,0.86387,0.55302,0.59306,0.85633,0.0058915,0.0058915,0.0058915
85,349.823,0.7448,0.71434,0.86698,0.97597,0.95882,0.97712,0.85807,0.59887,0.60825,0.85559,0.005842,0.005842,0.005842
86,355.948,0.69318,0.6967,0.84631,0.97417,0.95853,0.97711,0.87074,0.55431,0.59294,0.85305,0.0057925,0.0057925,0.0057925
87,360.064,0.6361,0.75951,0.87131,0.97417,0.95853,0.97711,0.87074,0.55431,0.59294,0.85305,0.005743,0.005743,0.005743
88,365.667,0.74124,0.64412,0.86091,0.96561,0.97453,0.97713,0.84588,0.66962,0.63281,0.86949,0.0056935,0.0056935,0.0056935
89,370.096,0.78247,0.6674,0.88572,0.97219,0.97592,0.97961,0.87954,0.53283,0.56408,0.85926,0.005644,0.005644,0.005644
90,375.579,0.75,0.66958,0.88012,0.95564,0.97499,0.97713,0.85564,0.65301,0.58474,0.85931,0.0055945,0.0055945,0.0055945
91,379.441,0.71103,0.65232,0.83475,0.95564,0.97499,0.97713,0.85564,0.65301,0.58474,0.85931,0.005545,0.005545,0.005545
92,385.241,0.69919,0.72129,0.86711,0.92705,0.97843,0.97709,0.87598,0.59079,0.61232,0.86453,0.0054955,0.0054955,0.0054955
93,390.056,0.72292,0.64277,0.87672,0.93716,0.98148,0.97708,0.87452,0.60439,0.59735,0.85458,0.005446,0.005446,0.005446
